date,tmax,tmin,tmed
09/1981,26.82,17.02,21.92
10/1981,24.19,15.38,19.79
11/1981,21.73,13.48,17.61
12/1981,18,10.35,14.18
01/1982,16.94,8.09,12.51
02/1982,17.41,9.14,13.27
03/1982,20.08,10,15.04
04/1982,20.56,11.39,15.98
05/1982,23.7,13.26,18.48
06/1982,26.97,16.02,21.5
07/1982,26.86,16.03,21.44
08/1982,28.83,18.86,23.85
09/1982,26.73,18.44,22.58
10/1982,22.84,12.77,17.8
11/1982,18.81,10.36,14.59
12/1982,15.95,7.08,11.52
01/1983,16.6,7.31,11.96
02/1983,15.6,6.53,11.07
03/1983,19.98,10.37,15.18
04/1983,19.54,10.57,15.06
05/1983,21.66,11.69,16.68
06/1983,26.42,16.4,21.41
07/1983,26.06,15.65,20.86
08/1983,27.53,17.83,22.68
09/1983,29.32,18.52,23.92
10/1983,25.17,15.45,20.31
11/1983,20.85,14.33,17.59
12/1983,17.59,9.4,13.5
01/1984,16.07,7.08,11.58
02/1984,16.74,6.29,11.52
03/1984,17.02,8.16,12.59
04/1984,20.8,13.13,16.96
05/1984,20.56,10.52,15.54
06/1984,24.25,15.21,19.73
07/1984,29.55,17.44,23.49
08/1984,29.14,18.6,23.87
09/1984,27.23,16.26,21.74
10/1984,23.09,13.39,18.24
11/1984,18.89,11.63,15.26
12/1984,17.21,9.61,13.41
01/1985,15.24,6.43,10.83
02/1985,16.64,11.81,14.23
03/1985,18.1,9.1,13.6
04/1985,20.6,11.95,16.28
05/1985,20.79,12.53,16.66
06/1985,25.21,17.2,21.2
07/1985,28.44,19.19,23.81
08/1985,29.76,19.49,24.63
09/1985,27.8,19.39,23.6
10/1985,24.84,15.95,20.4
11/1985,19.76,11.82,15.79
12/1985,16.81,9.83,13.32
01/1986,16.1,7.21,11.65
02/1986,15.49,8.31,11.9
03/1986,17.79,9.43,13.61
04/1986,17.4,8.9,13.15
05/1986,24.48,14.85,19.67
06/1986,25.43,16.73,21.08
07/1986,28.73,19.21,23.97
08/1986,27.25,17.98,22.62
09/1986,27.03,19.25,23.14
10/1986,24.05,16.24,20.15
11/1986,19.55,11.29,15.42
12/1986,16.51,8.79,12.65
01/1987,15.46,7.91,11.69
02/1987,16.59,8.59,12.59
03/1987,19.57,10.67,15.12
04/1987,20.86,12.16,16.51
05/1987,23.35,13.42,18.38
06/1987,27.56,16.45,22
07/1987,28.14,18.64,23.39
08/1987,28.58,18.92,23.75
09/1987,28.53,19.65,24.09
10/1987,21.54,13.62,17.58
11/1987,18.75,10.66,14.71
12/1987,17.44,11.79,14.61
01/1988,16.49,8.66,12.58
02/1988,16.33,8.14,12.24
03/1988,19.14,8.28,13.71
04/1988,20.4,10.66,15.53
05/1988,22.12,13.01,17.57
06/1988,24.14,16.64,20.39
07/1988,30.08,19.66,24.87
08/1988,30.05,19.74,24.89
09/1988,28.81,18.38,23.59
10/1988,23.7,16.16,19.93
11/1988,20.1,14.15,17.13
12/1988,17.78,8.34,13.06
01/1989,16.22,8.45,12.34
02/1989,17.33,9.89,13.61
03/1989,19.32,10.51,14.91
04/1989,18.6,10.56,14.58
05/1989,22.25,14.29,18.27
06/1989,26.99,17.51,22.25
07/1989,29.6,19.98,24.79
08/1989,28.78,20.1,24.44
09/1989,26.17,17.27,21.72
10/1989,24.14,16.55,20.35
11/1989,19.38,12.94,16.16
12/1989,17.5,12.49,15
01/1990,15.83,7.19,11.51
02/1990,18.16,8.9,13.53
03/1990,19.21,11.54,15.38
04/1990,20.14,11.02,15.58
05/1990,23.5,14.17,18.84
06/1990,24.94,16.08,20.51
07/1990,29.56,19.76,24.66
08/1990,29.66,19.73,24.69
09/1990,26.09,17.74,21.91
10/1990,22.63,14.82,18.72
11/1990,19.45,9.42,14.43
12/1990,15.61,9.11,12.36
