Período de referência dos dados,Localização geográfica (Região agrária),Espécie,Superfície das principais culturas agrícolas (ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produção das principais culturas agrícolas (t) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) 
2024,Alentejo,Batata de regadio,760,25514,33571
2024,Alentejo,Batata de sequeiro,0,0,
2024,Alentejo,Principais culturas para indústria,5596,257491,46015
2024,Alentejo,Tomate para indústria,2949,252498,85622
2024,Alentejo,Girassol,2647,4993,1886
2024,Alentejo,Tabaco,0,0,
2024,Alentejo,Beterraba,0,0,
2024,Alentejo,Lúpulo,0,0,
2024,Alentejo,Culturas hortícolas,,,
2024,Alentejo,Tomate fresco,,,
2024,Alentejo,Alface,,,
2024,Alentejo,Feijão-verde,,,
2024,Alentejo,Cebola,,,
2024,Alentejo,Cenoura,,,
2024,Alentejo,Pimento,,,
2024,Alentejo,Ervilha,,,
2024,Alentejo,Fava,,,
2024,Alentejo,Melão,,,
2024,Alentejo,Melancia,,,
2024,Alentejo,Morango,,,
2024,Alentejo,Couve-flor,,,
2024,Alentejo,Couve-brócolo,,,
2024,Alentejo,Couve-repolho,,,
2024,Alentejo,Couve-tronchuda,,,
2024,Alentejo,Couve-lombardo,,,
2024,Alentejo,Grelos (nabo e couve),,,
2024,Alentejo,Alho,,,
2024,Alentejo,Alho-porro,,,
2024,Alentejo,Courgette,,,
2024,Alentejo,Espinafre,,,
2024,Alentejo,Nabo,,,
2024,Alentejo,Abóbora (inclui butternut),,,
2024,Alentejo,Outras hortícolas,,,
2024,Alentejo,Principais culturas forrageiras,21942,687395,31328
2024,Alentejo,Milho forrageiro,3277,180421,55060
2024,Alentejo,Aveia forrageira,18665,506975,27161
2024,Alentejo,Principais frutos frescos,2691,32558,12099
2024,Alentejo,Pêra,169,2691,15890
2024,Alentejo,Maçã,190,3489,18362
2024,Alentejo,Pêssego,751,12143,16169
2024,Alentejo,Cereja,57,114,2000
2024,Alentejo,Ameixa,628,8961,14269
2024,Alentejo,Damasco,207,945,4564
2024,Alentejo,Diospiro,19,103,5397
2024,Alentejo,Figo,236,101,429
2024,Alentejo,Ginja,0,0,
2024,Alentejo,Marmelo,55,296,5392
2024,Alentejo,Nespera,0,0,
2024,Alentejo,Romã,379,3716,9804
2024,Alentejo,Frutos pequenos de baga,1663,41321,24843
2024,Alentejo,Amoras,211,6010,28483
2024,Alentejo,Framboesas,1077,26989,25053
2024,Alentejo,Groselha,0,0,
2024,Alentejo,Mirtilos,375,8322,22192
2024,Alentejo,Principais frutos subtropicais,724,1769,2443
2024,Alentejo,Kiwi,0,0,
2024,Alentejo,Banana,0,0,
2024,Alentejo,Ananás,0,0,
2024,Alentejo,Abacate,724,1769,2443
2024,Alentejo,Citrinos,2758,38130,13825
2024,Alentejo,Laranja,1722,32529,18890
2024,Alentejo,Tangerina,932,4921,5280
2024,Alentejo,Limão,104,681,6548
2024,Alentejo,Tangera,0,0,
2024,Alentejo,Toranja,0,0,
2024,Alentejo,Principais frutos de casca rija,34883,66677,1911
2024,Alentejo,Amêndoa,32480,62732,1931
2024,Alentejo,Castanha,454,482,1062
2024,Alentejo,Noz,1931,3451,1787
2024,Alentejo,Avelã,18,12,667
2024,Alentejo,Vinha,27208,163757,6019
2024,Alentejo,Uva para vinho,26576,155060,5835
2024,Alentejo,Uva para vinho (DOP),10973,87248,7951
2024,Alentejo,Uva para vinho (IGP),13321,67004,5030
2024,Alentejo,Uva para vinho (Vinhos sem certificação),2282,808,354
2024,Alentejo,Uva de mesa,632,8696,13760
2024,Alentejo,Olival,206620,1100732,5327
2024,Alentejo,Azeitona de mesa,3192,24073,7542
2024,Alentejo,Azeitona para azeite,203428,1076659,5293
2024,Algarve,Cereais para grão,2888,2048,709
